2010-06-23,1,32,0,0,21,2
2009-12-10,1,3,1,0,1,0
2009-06-12,1,6,0,0,3,0
2008-12-15,1,7,0,0,6,1
2008-03-24,1,0,1,0,5,7
2010-05-21,1,5,2,0,2,2
2009-11-16,1,9,1,0,8,1
2009-05-19,1,9,0,0,6,1
2008-11-17,1,4,0,0,2,1
2008-05-12,1,0,13,0,2,1
2007-11-22,1,7,5,0,2,1
2007-05-19,1,8,6,0,2,1
2009-08-17,1,7,2,0,1,1
2007-01-10,1,2,4,0,7,0
2010-09-18,1,4,1,0,2,0
2010-03-11,1,15,3,0,0,0
2009-09-21,1,2,0,0,11,0
2009-03-06,1,2,0,0,18,0
2010-09-19,1,4,0,0,13,0
2010-03-12,1,0,1,0,27,0
2009-09-18,1,0,0,0,19,0
2009-03-06,1,4,0,0,26,0
2008-08-06,1,5,0,0,31,0
2008-02-09,1,0,1,0,26,0
2007-08-18,1,31,1,0,28,1
2007-02-17,1,12,0,0,26,0
2010-11-15,1,0,0,0,16,0
2010-05-19,1,0,0,0,9,0
2009-11-10,1,3,4,0,1,0
2009-05-16,1,2,0,0,1,0
2008-11-17,1,0,1,0,0,2
2008-05-11,1,0,4,0,0,0
2007-11-22,1,0,1,0,23,0
2007-05-18,1,0,1,0,14,0
2010-06-19,1,21,2,0,10,0
2009-12-14,1,12,1,0,21,0
2010-10-16,1,3,2,0,14,1
2010-04-15,1,21,2,0,2,0
2009-10-16,1,5,0,0,2,0
2009-04-29,1,4,0,0,1,0
2008-10-09,1,4,0,0,2,0
2008-04-10,1,4,4,0,0,0
2010-09-14,1,13,0,0,3,1
2010-08-19,1,33,6,0,9,2
2010-03-13,1,24,1,0,3,1
2009-09-23,1,2,0,0,1,1
2010-06-25,1,4,0,0,1,1
2009-12-15,1,0,2,0,0,0
2008-12-21,1,14,2,0,1,1
2008-06-17,1,0,3,0,5,0
2010-07-05,1,0,0,0,5,0
2009-12-14,1,4,0,0,6,1
2009-06-08,1,7,0,0,0,0
2008-11-25,1,0,0,0,7,0
2008-06-09,1,9,0,0,5,0
2007-12-13,1,8,0,0,5,1
2010-09-16,1,0,4,0,1,1
2010-03-14,1,22,0,0,3,1
2009-09-21,1,24,3,0,2,2
2009-03-10,1,24,4,0,0,0
2008-11-18,1,13,1,0,0,0
2008-05-12,1,0,1,0,1,2
2007-11-22,1,32,0,0,1,1
2007-05-18,1,26,1,0,5,4
2010-11-17,1,28,0,0,11,0
2010-05-30,1,0,1,0,7,0
2008-11-10,1,6,0,0,11,0
2008-05-07,1,2,0,0,8,3
2010-11-19,1,5,0,0,1,1
2010-05-20,1,6,5,0,0,0
2009-01-23,1,8,0,0,16,1
2008-10-13,1,7,0,0,18,1
2008-04-18,1,20,3,0,17,0
2007-10-18,1,19,7,0,26,1
2009-10-15,1,3,0,0,1,1
2009-10-15,1,22,0,0,15,1
2009-09-22,1,9,0,0,4,0
2009-03-10,1,15,4,0,11,0
2008-12-12,1,29,3,0,24,1
2008-06-14,1,0,2,0,16,1
2007-12-15,1,29,4,0,20,0
2007-06-28,1,18,5,0,14,1
2010-05-22,1,21,0,0,12,0
2009-11-26,1,4,1,0,7,2
2009-05-16,1,16,2,0,10,0
2008-05-12,1,3,2,0,13,0
2007-11-23,1,0,0,0,17,1
2007-05-08,1,10,0,0,23,3
2010-07-23,1,7,0,0,23,3
2010-01-23,1,7,4,0,35,5
2009-09-20,1,7,1,0,35,5
2009-03-25,1,10,0,0,13,0
2010-03-17,1,18,0,0,14,1
2009-09-24,1,0,1,0,8,0
2009-03-11,1,0,0,0,6,0
2008-11-18,1,16,0,0,3,0
2008-05-16,1,10,0,0,2,0
2007-11-27,1,13,0,0,1,0
2010-10-19,1,10,2,0,2,0
2010-04-14,1,14,1,0,1,0
2009-10-22,1,11,1,0,11,1
2009-04-19,1,21,1,0,12,2
2010-07-19,1,2,3,0,5,2
2009-06-01,1,6,1,0,3,1
2008-11-07,1,0,1,0,12,0
2008-05-08,1,32,0,0,7,0
2009-06-10,1,16,0,0,13,1
2008-12-11,1,17,0,0,13,1
2008-06-02,1,19,4,0,11,0
2007-12-08,1,15,3,0,12,0
2007-12-08,1,12,7,0,37,4
2007-06-29,1,23,3,0,35,5
2010-09-10,1,18,11,0,31,6
2010-03-09,1,6,5,0,15,6
2009-09-18,1,34,6,0,14,3
2009-03-08,1,25,7,0,22,2
2010-09-10,1,12,0,0,8,1
2010-03-10,1,20,0,0,8,2
2009-09-21,1,23,0,0,29,1
2009-03-07,1,6,1,0,32,1
2008-08-09,1,23,2,0,25,1
2008-01-03,1,20,3,0,32,0
2010-10-15,1,3,1,0,5,0
2010-04-16,1,11,1,0,1,1
2008-03-14,1,5,0,0,15,2
2007-09-07,1,0,5,0,20,3
2010-07-01,1,0,2,0,19,9
2009-12-16,1,4,1,0,37,1
2009-06-26,1,7,0,0,7,1
2008-12-24,1,6,0,0,5,1
2008-06-13,1,3,3,0,4,0
2007-12-13,1,5,0,0,21,1
2010-11-18,1,0,1,0,17,1
2010-05-18,1,0,0,0,13,0
2009-11-30,1,0,2,0,14,1
2009-05-11,1,5,5,0,22,0
2008-03-20,1,6,0,0,2,1
2007-09-17,1,8,0,0,1,1
2007-09-17,1,4,0,0,9,0
2007-03-15,1,0,1,0,9,3
2010-07-19,1,22,0,0,23,0
2010-03-15,1,14,0,0,29,1
2009-07-03,1,11,1,0,25,1
2009-07-02,1,0,3,0,19,0
2008-12-10,1,7,0,0,14,1
2008-06-14,1,9,0,0,14,0
2008-04-15,1,0,3,0,16,0
2007-10-20,1,0,2,0,9,0
2009-05-30,1,0,7,0,0,0
2008-05-07,1,3,35,0,29,80
2008-11-03,1,23,37,0,21,70
2008-05-07,1,15,27,0,7,54
2009-11-30,1,5,48,0,18,77
2009-05-11,1,33,29,0,6,40
2009-03-17,1,10,29,0,4,45
