defeito,H2,CH4,C2H2,C2H4,C2H6
1,20,0,0,8,2
1,23,0,0,29,1
1,6,1,0,32,1
1,23,2,0,25,1
1,20,3,0,32,0
1,3,1,0,5,0
1,11,1,0,1,1
1,5,0,0,15,2
1,0,5,0,20,3
1,0,2,0,19,9
1,4,1,0,37,1
1,7,0,0,7,1
1,6,0,0,5,1
1,3,3,0,4,0
1,5,0,0,21,1
1,0,1,0,17,1
1,0,0,0,13,0
1,0,2,0,14,1
1,5,5,0,22,0
1,6,0,0,2,1
1,8,0,0,1,1
1,4,0,0,9,0
1,0,1,0,9,3
1,22,0,0,23,0
1,14,0,0,29,1
1,11,1,0,25,1
1,0,3,0,19,0
1,7,0,0,14,1
1,9,0,0,14,0
1,0,3,0,16,0
1,0,2,0,9,0
1,0,7,0,0,0
1,3,35,0,29,80
1,23,37,0,21,70
1,15,27,0,7,54
1,5,48,0,18,77
1,33,29,0,6,40
1,10,29,0,4,45
1,22,24,0,3,27
1,4,25,0,5,32
1,0,10,0,20,7
1,9,0,0,10,2
1,7,5,0,20,5
1,7,4,0,22,5
1,0,9,0,13,4
1,0,6,0,4,2
1,12,1,0,30,0
1,0,3,0,29,0
1,0,1,0,28,0
1,3,64,0,17,28
1,14,81,0,18,27
1,0,51,0,35,12
1,16,61,0,28,19
1,4,82,0,12,77
1,0,64,0,6,56
1,0,74,0,6,58
1,0,57,0,2,16
1,3,24,0,20,6
1,0,18,0,21,6
1,0,13,0,21,4
1,0,26,0,24,6
1,5,27,0,22,5
1,0,41,0,16,7
1,10,44,0,27,15
1,8,52,0,23,11
1,0,43,0,27,14
1,3,47,0,24,13
1,15,77,0,8,114
1,12,71,0,6,121
1,29,73,0,13,105
1,0,0,0,27,1
1,5,0,0,30,2
1,4,6,0,15,0
1,0,5,0,2,0
1,0,24,0,0,18
1,4,20,0,4,12
1,5,31,0,4,8
1,0,25,0,4,4
1,0,10,0,1,2
1,12,25,0,1,3
1,0,3,0,32,2
1,0,20,0,2,4
1,5,10,0,2,4
1,0,8,0,2,4
1,0,16,0,0,0
1,0,16,0,0,25
1,0,0,0,34,1
1,17,0,0,28,2
1,11,1,0,36,5
1,5,2,0,27,5
1,19,2,0,25,4
1,0,8,0,19,0
1,0,1,0,37,0
1,0,2,0,19,0
1,16,25,0,7,15
1,18,41,0,8,16
1,13,37,0,3,4
1,8,26,0,1,8
1,6,9,0,32,3
1,4,6,0,20,0
1,9,35,0,15,3
1,4,18,0,7,2
1,15,3,0,3,1
1,23,38,0,18,9
1,4,4,0,25,9
1,3,6,0,15,8
1,0,5,0,4,5
1,0,6,0,2,11
1,31,63,0,3,11
1,22,66,0,9,9
1,20,48,0,9,9
1,8,64,0,7,16
1,23,69,0,8,13
1,5,91,0,3,29
1,8,71,0,3,22
1,0,83,0,1,31
1,0,64,0,1,21
1,0,0,0,0,8
1,12,77,0,2,25
1,0,48,0,0,8
1,0,44,0,0,6
1,0,26,0,0,1
1,4,37,0,0,9
1,0,3,0,29,9
1,0,1,0,27,6
1,5,4,0,27,2
1,0,15,0,1,4
1,0,10,0,1,1
1,9,17,0,3,5
1,9,19,0,2,5
1,3,10,0,2,1
1,15,19,0,1,7
1,15,18,0,3,1
1,0,7,0,1,3
1,7,0,0,2,1
1,7,4,0,2,1
1,7,4,0,1,0
1,5,5,0,1,0
1,7,5,0,1,0
1,0,22,0,0,8
1,33,15,0,0,4
1,16,20,0,3,8
1,14,22,0,2,9
1,2,16,0,0,4
1,10,11,0,1,5
1,5,54,0,9,9
1,6,54,0,10,21
1,8,42,0,8,8
1,33,45,0,5,5
1,11,47,0,6,5
1,9,44,0,13,8
1,4,42,0,4,10
1,2,35,0,3,7
1,15,48,0,5,12
1,2,36,0,21,7
1,0,39,0,7,10
1,0,42,0,1,17
1,0,43,0,1,13
1,0,44,0,2,12
1,10,38,0,2,13
1,27,57,0,2,10
1,0,53,0,2,8
1,3,38,0,4,13
1,2,52,0,4,12
1,0,49,0,1,13
1,5,55,0,2,10
1,0,38,0,1,28
1,0,39,0,1,22
1,4,34,0,0,15
1,2,23,0,0,0
1,3,38,0,4,12
1,4,40,0,2,10
1,0,38,0,2,10
1,0,41,0,1,11
1,0,44,0,0,2
1,0,34,0,1,11
1,17,60,0,2,71
1,11,74,0,2,94
1,13,66,0,3,43
1,3,69,0,2,51
1,2,37,0,2,30
1,2,42,0,2,30
1,14,27,0,1,18
1,8,23,0,0,6
1,0,41,0,0,28
1,3,51,0,2,23
1,3,46,0,2,16
1,0,26,0,2,27
1,0,20,0,1,11
1,0,35,0,1,11
1,4,52,0,2,30
1,0,52,0,3,45
1,0,41,0,1,34
1,0,41,0,1,30
1,0,47,0,1,32
1,8,45,0,24,6
1,10,27,0,17,5
1,15,38,0,21,3
1,4,32,0,23,3
1,6,21,0,14,4
1,25,25,0,14,1
1,9,17,0,2,3
1,6,8,0,3,2
1,8,41,0,2,23
1,15,41,0,1,9
1,10,44,0,3,14
1,13,42,0,3,16
1,5,47,0,2,17
1,11,30,0,2,11
1,8,39,0,0,3
1,12,38,0,3,11
1,4,7,0,7,1
1,0,10,0,6,1
1,2,4,0,5,1
1,7,3,0,2,1
1,4,5,0,2,1
1,20,6,0,2,0
1,4,10,0,1,0
1,4,12,0,4,2
1,0,6,0,5,0
1,2,6,0,3,0
1,4,10,0,3,0
1,3,0,0,2,0
1,0,16,0,4,2
1,11,5,0,2,1
1,12,2,0,5,3
1,14,11,0,3,1
1,12,2,0,0,0
1,9,1,0,0,0
1,12,2,0,9,2
1,12,5,0,7,1
1,12,7,0,6,1
1,3,1,0,4,1
1,10,6,0,2,1
1,10,17,0,2,0
1,20,8,0,4,2
1,24,10,0,3,1
1,17,10,0,3,1
1,32,12,0,2,2
1,16,9,0,3,0
1,14,8,0,4,3
1,6,10,0,4,3
1,13,13,0,4,3
1,0,13,0,3,2
1,8,12,0,3,3
