Data,Defeito,H2,CH4,C2H2,C2H4,C2H6,Fonte
26/6/2010,Normal,0,0,0,10,0,CPFL
25/11/2009,Normal,6,0,0,17,1,CPFL
15/4/2009,Normal,3,1,0,15,0,CPFL
25/12/2008,Normal,0,1,0,8,4,CPFL
19/6/2008,Normal,4,4,0,18,0,CPFL
13/12/2007,Normal,30,4,0,1,0,CPFL
24/5/2010,Normal,6,1,0,0,0,CPFL
14/11/2009,Normal,3,1,0,0,0,CPFL
16/5/2009,Normal,23,0,0,4,0,CPFL
17/11/2008,Normal,15,1,0,4,0,CPFL
13/5/2008,Normal,0,3,0,4,0,CPFL
23/11/2007,Normal,6,2,0,1,1,CPFL
24/9/2009,Normal,13,2,0,1,1,CPFL
7/3/2009,Normal,6,0,0,28,1,CPFL
13/8/2008,Normal,9,2,0,13,5,CPFL
15/2/2008,Normal,0,1,0,20,0,CPFL
12/5/2009,Normal,0,1,0,16,0,CPFL
8/4/2009,Normal,0,1,0,10,1,CPFL
18/12/2008,Normal,7,4,0,3,0,CPFL
11/6/2008,Normal,5,0,0,1,0,CPFL
15/12/2007,Normal,20,0,0,0,0,CPFL
26/6/2007,Normal,0,1,0,0,1,CPFL
22/11/2009,Normal,7,4,0,0,0,CPFL
7/5/2009,Normal,0,0,0,18,0,CPFL
31/3/2009,Normal,5,0,0,17,0,CPFL
20/12/2008,Normal,26,0,0,25,2,CPFL
23/6/2010,Normal,32,0,0,21,2,CPFL
10/12/2009,Normal,3,1,0,1,0,CPFL
12/6/2009,Normal,6,0,0,3,0,CPFL
15/12/2008,Normal,7,0,0,6,1,CPFL
24/3/2008,Normal,0,1,0,5,7,CPFL
21/5/2010,Normal,5,2,0,2,2,CPFL
16/11/2009,Normal,9,1,0,8,1,CPFL
19/5/2009,Normal,9,0,0,6,1,CPFL
17/11/2008,Normal,4,0,0,2,1,CPFL
12/5/2008,Normal,0,13,0,2,1,CPFL
22/11/2007,Normal,7,5,0,2,1,CPFL
19/5/2007,Normal,8,6,0,2,1,CPFL
17/8/2009,Normal,7,2,0,1,1,CPFL
10/1/2007,Normal,2,4,0,7,0,CPFL
18/9/2010,Normal,4,1,0,2,0,CPFL
11/3/2010,Normal,15,3,0,0,0,CPFL
21/9/2009,Normal,2,0,0,11,0,CPFL
6/3/2009,Normal,2,0,0,18,0,CPFL
19/9/2010,Normal,4,0,0,13,0,CPFL
12/3/2010,Normal,0,1,0,27,0,CPFL
18/9/2009,Normal,0,0,0,19,0,CPFL
6/3/2009,Normal,4,0,0,26,0,CPFL
6/8/2008,Normal,5,0,0,31,0,CPFL
9/2/2008,Normal,0,1,0,26,0,CPFL
18/8/2007,Normal,31,1,0,28,1,CPFL
17/2/2007,Normal,12,0,0,26,0,CPFL
15/11/2010,Normal,0,0,0,16,0,CPFL
19/5/2010,Normal,0,0,0,9,0,CPFL
10/11/2009,Normal,3,4,0,1,0,CPFL
16/5/2009,Normal,2,0,0,1,0,CPFL
17/11/2008,Normal,0,1,0,0,2,CPFL
11/5/2008,Normal,0,4,0,0,0,CPFL
22/11/2007,Normal,0,1,0,23,0,CPFL
18/5/2007,Normal,0,1,0,14,0,CPFL
19/6/2010,Normal,21,2,0,10,0,CPFL
14/12/2009,Normal,12,1,0,21,0,CPFL
16/10/2010,Normal,3,2,0,14,1,CPFL
15/4/2010,Normal,21,2,0,2,0,CPFL
16/10/2009,Normal,5,0,0,2,0,CPFL
29/4/2009,Normal,4,0,0,1,0,CPFL
9/10/2008,Normal,4,0,0,2,0,CPFL
10/4/2008,Normal,4,4,0,0,0,CPFL
14/9/2010,Normal,13,0,0,3,1,CPFL
19/8/2010,Normal,33,6,0,9,2,CPFL
13/3/2010,Normal,24,1,0,3,1,CPFL
23/9/2009,Normal,2,0,0,1,1,CPFL
25/6/2010,Normal,4,0,0,1,1,CPFL
15/12/2009,Normal,0,2,0,0,0,CPFL
21/12/2008,Normal,14,2,0,1,1,CPFL
17/6/2008,Normal,0,3,0,5,0,CPFL
5/7/2010,Normal,0,0,0,5,0,CPFL
14/12/2009,Normal,4,0,0,6,1,CPFL
8/6/2009,Normal,7,0,0,0,0,CPFL
25/11/2008,Normal,0,0,0,7,0,CPFL
9/6/2008,Normal,9,0,0,5,0,CPFL
13/12/2007,Normal,8,0,0,5,1,CPFL
16/9/2010,Normal,0,4,0,1,1,CPFL
14/3/2010,Normal,22,0,0,3,1,CPFL
21/9/2009,Normal,24,3,0,2,2,CPFL
10/3/2009,Normal,24,4,0,0,0,CPFL
18/11/2008,Normal,13,1,0,0,0,CPFL
12/5/2008,Normal,0,1,0,1,2,CPFL
22/11/2007,Normal,32,0,0,1,1,CPFL
18/5/2007,Normal,26,1,0,5,4,CPFL
17/11/2010,Normal,28,0,0,11,0,CPFL
30/5/2010,Normal,0,1,0,7,0,CPFL
10/11/2008,Normal,6,0,0,11,0,CPFL
7/5/2008,Normal,2,0,0,8,3,CPFL
19/11/2010,Normal,5,0,0,1,1,CPFL
20/5/2010,Normal,6,5,0,0,0,CPFL
23/1/2009,Normal,8,0,0,16,1,CPFL
13/10/2008,Normal,7,0,0,18,1,CPFL
18/4/2008,Normal,20,3,0,17,0,CPFL
18/10/2007,Normal,19,7,0,26,1,CPFL
15/10/2009,Normal,3,0,0,1,1,CPFL
15/10/2009,Normal,22,0,0,15,1,CPFL
22/9/2009,Normal,9,0,0,4,0,CPFL
10/3/2009,Normal,15,4,0,11,0,CPFL
12/12/2008,Normal,29,3,0,24,1,CPFL
14/6/2008,Normal,0,2,0,16,1,CPFL
15/12/2007,Normal,29,4,0,20,0,CPFL
28/6/2007,Normal,18,5,0,14,1,CPFL
22/5/2010,Normal,21,0,0,12,0,CPFL
26/11/2009,Normal,4,1,0,7,2,CPFL
16/5/2009,Normal,16,2,0,10,0,CPFL
12/5/2008,Normal,3,2,0,13,0,CPFL
23/11/2007,Normal,0,0,0,17,1,CPFL
8/5/2007,Normal,10,0,0,23,3,CPFL
23/7/2010,Normal,7,0,0,23,3,CPFL
23/1/2010,Normal,7,4,0,35,5,CPFL
20/9/2009,Normal,7,1,0,35,5,CPFL
25/3/2009,Normal,10,0,0,13,0,CPFL
17/3/2010,Normal,18,0,0,14,1,CPFL
24/9/2009,Normal,0,1,0,8,0,CPFL
11/3/2009,Normal,0,0,0,6,0,CPFL
18/11/2008,Normal,16,0,0,3,0,CPFL
