Defeito,H2,CH4,C2H2,C2H4,C2H6
1,3,0,0,0,0
1,0,1,0,0,1
1,0,1,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,6,0,0,1,3
1,6,0,0,1,3
1,0,0,0,0,0
1,28,0,0,0,0
1,1,0,0,0,0
1,0,1,0,0,0
1,0,0,0,0,0
1,4,0,0,0,1
1,2,0,0,0,0
1,0,1,0,0,0
1,3,0,0,1,0
1,21,0,0,0,0
1,6,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,35,3,0,0,0
1,0,0,0,0,0
1,20,1,0,0,0
1,0,2,0,0,0
1,18,3,0,1,0
1,16,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,7,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,90,313,10,566,67
2,23,6,31,23,172
2,103,74,0,9,80
2,124,166,0,59,87
2,66,60,"0,1",7,2
2,2031,149,1,3,20
2,29,204,0,17,264
2,48273,11485,7,8,3452
2,14,44,1,7,124
3,1270,3450,8,1390,520
3,3420,7870,33,6990,1500
3,12,18,"0,1",4,4
3,48,610,"0,1",10,29
3,480,1075,1,1132,298
3,960,4000,6,1560,1290
3,191,47,"0,1",15,43
3,10,24,"0,1",24,372
3,59,93,1,6,89
3,80,619,0,2480,326
3,231,3997,0,5584,1726
3,754,2647,6,2590,1127
3,5170,1674,0,380,195
3,223,2121,0,2883,1708
4,300,700,36,1700,280
4,796,999,31,1599,234
4,358,784,130,1165,269
4,36,245,"0,1",332,144
4,86,187,"0,1",363,136
4,769,999,31,1599,234
4,295,1466,32,1295,331
4,507,1053,17,1440,297
4,8800,64064,0,95650,72128
4,6709,10500,750,17700,1400
4,290,1260,8,820,231
4,400,940,24,820,210
4,6,2990,67,26076,29990
4,107,143,2,222,34
4,290,966,57,1810,299
4,2500,10500,6,13500,4790
4,15550,2740,184,5450,816
4,3910,4290,1230,6040,626
4,12705,23498,5188,34257,6047
4,300,700,36,1700,280
5,33046,619,0,2,58
5,2587,"7,88",0,"1,4","4,7"
5,240,20,96,28,5
5,160,10,1,1,3
5,56,61,31,32,75
6,78,20,28,13,11
6,305,100,541,161,33
6,1230,163,692,233,27
6,645,86,317,110,13
6,95,10,39,11,0
6,1330,10,182,66,20
6,595,80,244,89,9
6,385,60,159,53,8
6,4230,690,1180,196,5
6,7600,1230,1560,836,318
6,120,25,40,8,1
6,6454,2313,6432,259,121
6,2177,1049,705,440,207
6,1790,580,619,336,321
7,37800,1740,8,8,249
7,6454,2313,6432,2159,121
7,206,42,221,82,16
7,127,24,81,32,"0,0001"
7,154,11,3,8,14
7,193,48,66,154,22
7,217,286,884,458,14
7,441,207,261,224,43
7,127,24,81,32,0
7,176,"205,9","68,7","75,7","47,7"
7,545,130,239,153,16
7,7150,1440,1760,1210,97
7,755,229,460,404,32
7,1570,1110,1830,1780,175
7,3090,5020,2540,3800,323
7,1820,405,634,365,35
7,440,89,757,304,19
7,260,215,277,334,35
7,75,15,26,14,7
7,60,5,21,21,2
7,1500,395,323,395,28
7,20000,13000,57000,29000,1850
7,3700,1690,3270,2810,128
7,2770,660,763,712,54
7,1170,255,325,312,18
7,120,31,94,66,1
7,5100,1430,1010,1140,1
7,535,160,680,305,16
7,8200,3790,5830,4620,250
7,530,345,250,266,85
7,90,28,32,31,8
7,220,77,240,170,22
7,590,1500,2300,1200,68
7,2800,2800,3600,3500,234
7,99,170,190,200,20
7,305,85,130,197,25
7,1900,530,434,383,35
7,110,62,250,140,90
7,245,120,167,131,18
7,4419,3564,2025,2861,668
7,810,580,490,570,111
7,5000,1200,1100,1000,83
2,16,213,0,11,535
2,25,6,1,6,3
2,22,259,0,9,427
2,0,211,0,13,655
2,131,386,5,500,78
2,194,355,4,589,99
2,66,322,7,809,112
2,68,205,0,61,184
2,160,598,7,1801,212
2,213,384,3,2028,401
2,512,1127,316,2248,350
2,14,116,1,19,437
2,25,108,0,18,281
2,198,313,3,727,83
2,200,462,300,8656,2112
2,98,309,2,578,104
2,124,190,0,349,56
2,60,159,0,161,81
3,0,3,3,20,5
3,512,364,820,656,33
3,455,112,206,153,13
3,761,134,272,228,12
3,57,4,15,31,3
3,949,557,834,609,551
3,991,126,0,18,44
3,19,1,1,21,3
3,504,142,389,228,14
3,196,64,365,96,8
3,19,3,1,1,0
