Id,Defeito,H2,CH4,C2H2,C2H4,C2H6,Fonte
106,1,0,0,0,11,0,CPFL
107,1,6,0,0,20,0,CPFL
107,1,6,1,0,17,1,CPFL
108,1,0,1,0,11,0,CPFL
108,1,0,2,0,10,0,CPFL
109,1,0,0,0,0,0,CPFL
109,1,0,3,0,9,0,CPFL
110,1,22,0,0,5,0,CPFL
110,1,18,1,0,3,0,CPFL
111,1,7,0,0,7,0,CPFL
111,1,4,0,0,5,0,CPFL
112,1,0,1,0,4,0,CPFL
112,1,0,1,0,2,0,CPFL
113,1,0,1,0,0,0,CPFL
113,1,0,0,0,3,0,CPFL
114,1,0,0,0,14,0,CPFL
114,1,6,0,0,21,1,CPFL
115,1,0,0,0,0,0,CPFL
115,1,7,0,0,2,0,CPFL
116,1,4,0,0,4,0,CPFL
116,1,3,0,0,4,0,CPFL
117,1,0,1,0,3,0,CPFL
117,1,0,1,0,1,0,CPFL
118,1,15,0,0,3,0,CPFL
118,1,55,1,0,7,0,CPFL
119,1,0,0,0,2,0,CPFL
119,1,5,0,0,4,0,CPFL
120,1,0,0,0,0,0,CPFL
120,1,2,0,0,0,0,CPFL
121,1,0,1,0,0,0,CPFL
121,1,0,1,0,0,0,CPFL
122,1,0,0,0,32,0,CPFL
122,1,8,0,0,30,0,CPFL
123,1,4,0,0,33,1,CPFL
123,1,0,3,0,34,6,CPFL
124,1,0,1,0,23,2,CPFL
124,1,0,1,0,33,1,CPFL
125,1,17,1,0,15,0,CPFL
125,1,0,0,0,10,0,CPFL
126,1,6,0,0,17,1,CPFL
126,1,6,0,0,17,1,CPFL
127,1,3,1,0,15,0,CPFL
127,1,0,1,0,8,4,CPFL
128,1,0,1,0,5,0,CPFL
128,1,4,4,0,18,0,CPFL
129,1,30,4,0,1,0,CPFL
129,1,0,0,0,0,0,CPFL
130,1,6,1,0,0,0,CPFL
130,1,3,1,0,0,0,CPFL
131,1,23,0,0,4,0,CPFL
131,1,15,1,0,4,0,CPFL
132,1,0,2,0,4,0,CPFL
132,1,0,3,0,4,0,CPFL
133,1,6,2,0,1,1,CPFL
133,1,13,2,0,1,1,CPFL
134,1,0,0,0,0,0,CPFL
134,1,0,0,0,0,0,CPFL
135,1,6,0,0,28,1,CPFL
135,1,9,2,0,13,5,CPFL
136,1,0,1,0,20,0,CPFL
136,1,0,1,0,16,0,CPFL
137,1,0,1,0,10,1,CPFL
137,1,7,4,0,3,0,CPFL
138,1,16,0,0,0,0,CPFL
138,1,5,0,0,1,0,CPFL
139,1,20,0,0,0,0,CPFL
139,1,0,1,0,0,1,CPFL
140,1,0,1,0,0,0,CPFL
140,1,7,4,0,0,0,CPFL
141,1,0,0,0,18,0,CPFL
141,1,5,0,0,17,0,CPFL
142,1,26,0,0,25,2,CPFL
142,1,32,0,0,21,2,CPFL
143,1,3,1,0,1,0,CPFL
143,1,6,0,0,3,0,CPFL
144,1,7,0,0,6,1,CPFL
144,1,0,1,0,5,7,CPFL
145,1,5,2,0,2,2,CPFL
145,1,0,2,0,4,0,CPFL
146,1,9,1,0,8,1,CPFL
146,1,0,1,0,2,0,CPFL
147,1,9,0,0,6,1,CPFL
147,1,4,0,0,2,1,CPFL
148,1,0,13,0,2,1,CPFL
148,1,7,5,0,2,1,CPFL
149,1,8,6,0,2,1,CPFL
